LOB,TargetSystem,TargetTableName,TargetTableType,SourceSystem,SourceTableName,SourceWatermarkColumn,SourceWatermarkValue,SourceColumns,SourceFilter,RawSourceSystem,Enabled,LoadType,LoadSequence,Status,Comment,InsertedDate,InsertedBy,ModifiedDate,ModifiedBy,Id
Marketing,ADS Azure SQL Database,dbo.FactWebPageView,Fact,ODS Azure SQL Database,dbo.vwAMAFactWebPageView,entity_event_date,2021-05-03,"Id,entity_event_date, TimeKey, hostname, pagePath, source, medium, campaign, accountID, profileID, segment, deviceCategory, cityid, PageViewEntrances, PageViewExits, PageViewCount, PageViewUniqueCount",NULL,Google Analytics,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 20:35:04.467,bdc-sqlusr-d-dlake-dbrick-ads001,39
Marketing,ADS Azure SQL Database,dbo.FactWebPageVisit,Fact,ODS Azure SQL Database,dbo.vwAMAFactWebPageVisit,entity_event_date,2021-05-03,"Id,entity_event_date, TimeKey, hostname, landingPagePath, pagePath, source, medium, campaign, accountID, profileID, segment, deviceCategory, cityid, VisitSessionCount, VisitSessionDurationSeconds, VisitBouncesCount",NULL,Google Analytics,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 21:30:19.960,bdc-sqlusr-d-dlake-dbrick-ads001,40
Marketing,ADS Azure SQL Database,dbo.FactDigitalMetric,Fact,ODS Azure SQL Database,dbo.vwAMAFactDigitalMetric_GaGoals,entity_event_date,2021-05-03,*,NULL,Google Analytics,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 21:32:35.253,bdc-sqlusr-d-dlake-dbrick-ads001,48
Marketing,ADS Azure SQL Database,dbo.DimDigitalFormInfo,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalFormInfo,entity_modified_on,2021-05-03 10:23:30.000,"DISTINCT FormName, FormType, FormOfficialName",NULL,Eloqua,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:21:13.133,bdc-sqlusr-d-dlake-dbrick-ads001,49
Marketing,ADS Azure SQL Database,dbo.FactDigitalForm,Fact,ODS Azure SQL Database,dbo.vwAMAFactDigitalForm,entity_modified_on,2021-05-03 10:23:30.000,"Id, FormName, FormType, FormSubmissionDate",NULL,Eloqua,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 21:45:10.513,bdc-sqlusr-d-dlake-dbrick-ads001,50
Marketing,ADS Azure SQL Database,dbo.FactDigitalMetric,Fact,ODS Azure SQL Database,dbo.vwAMAFactDigitalMetric_EloquaExpressConsents,entity_modified_on,NULL,*,NULL,Eloqua,0,Upsert,2,Failed,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,51
Marketing,ADS Azure SQL Database,dbo.FactDigitalMetric,Fact,ODS Azure SQL Database,dbo.vwAMAFactDigitalMetric_EloquaVBC,entity_modified_on,NULL,*,NULL,Eloqua,0,Upsert,3,Failed,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,52
Marketing,ADS Azure SQL Database,dbo.DimWebSearchInfo,Dimension,ODS Azure SQL Database,dbo.vwAMADimWebSearchInfo,entity_event_date,2021-04-23,"DISTINCT WebSearchInfoHash, SearchQuery, SearchCountry, SearchType",NULL,Google Search Console,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:22:53.707,bdc-sqlusr-d-dlake-dbrick-ads001,56
Marketing,ADS Azure SQL Database,dbo.FactWebSearch,Fact,ODS Azure SQL Database,dbo.vwAMAFactWebSearch,entity_event_date,2021-04-23,*,NULL,Google Search Console,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 21:55:08.913,bdc-sqlusr-d-dlake-dbrick-ads001,57
Marketing,ADS Azure SQL Database,dbo.DimDigitalProvinceMapping,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalProvinceMapping,entity_modified_on,2021-03-03 11:25:02.000,"DISTINCT ProvinceNameEn, ProvinceCode, RegionBDCEn, FSAProvince, ProvinceNameFr, RegionBDCFr",NULL,Custom file,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:24:34.440,bdc-sqlusr-d-dlake-dbrick-ads001,62
Marketing,ADS Azure SQL Database,dbo.DimWebContent,Dimension,ODS Azure SQL Database,dbo.vwAMADimWebContent,NULL,NULL,DISTINCT *,NULL,"Epi Server, TaxonomyWebPages, AcademyMatrix ",0,Full Load,13,Failed,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,63
